molecule_chembl_id,canonical_smiles,standard_value,compound_classification
CHEMBL333331,COC(=O)C1C2CCC(C[C@@H]1OC(c1ccc(Cl)cc1)c1ccc(Cl)cc1)N2C,3360.0,intermediate
CHEMBL14391,COC(=O)C1C(c2ccc(I)cc2)CC2CCC1N2C,2.53,active
CHEMBL81525,COC(=O)C1C2CCC(CC1c1ccc(Cl)cc1)N2,1.63,active
CHEMBL370805,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,270.0,active
CHEMBL87031,COC(=O)C1C(c2ccc(Cl)c(Cl)c2)CC2CCC1N2C,2.47,active
CHEMBL171106,COC(=O)C1C(c2cccc(Br)c2)CC2CCC1N2C,20.4,active
CHEMBL67387,COC(=O)C1C(c2cccc(I)c2)CC2CCC1N2C,9.88,active
CHEMBL2079586,COC(=O)[C@H]1[C@@H](c2ccc(F)cc2)C[C@H]2CC[C@H]1N2C,160.0,active
CHEMBL306208,COC(=O)C1C(c2ccc(Cl)cc2)CC2CCC1N2C,5.87,active
CHEMBL169471,COC(=O)C1C2CCC(CC1c1ccc(Cl)c(Cl)c1)N2,1.4,active
CHEMBL50858,COC(=O)C1C2CC[C@H](C[C@@H]1c1ccc(Cl)c(C)c1)N2C,1.0,active
CHEMBL894,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,47000.0,inactive
CHEMBL103504,CCC[C@@]1(O)CN2C3CC[C@@H]2C[C@H](c2ccc(C)cc2)C31,41.0,active
CHEMBL101250,Cc1ccc([C@H]2C[C@H]3CCC4C2[C@](C)(O)CN43)cc1,147.0,active
CHEMBL430840,O=C1CN2C3CC[C@@H]2C[C@H](c2ccc(F)cc2)C13,251.0,active
CHEMBL101905,C=C1CN2C3CC[C@@H]2C[C@H](c2ccc(C)cc2)C13,33.0,active
CHEMBL321067,Cc1ccc([C@H]2C[C@H]3CCC4C2[C@@](O)(c2ccccc2)CN43)cc1,7.9,active
CHEMBL370805,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,413.0,active
CHEMBL419728,Cc1ccc([C@H]2C[C@H]3CCC4C2[C@@](O)(c2ccc(Cl)cc2)CN43)cc1,13.0,active
CHEMBL102018,Cc1ccc([C@H]2C[C@H]3CCC4C2C(=O)CN43)cc1,68.0,active
CHEMBL89208,COC(=O)C1C(c2ccccc2)CC2[C@@H](O)CC1N2C,20000.0,inactive
CHEMBL84680,COC(=O)C1=C(c2ccc3ccccc3c2)CC2CCC1N2C,109.0,active
CHEMBL330228,COC(=O)C1C(c2ccc(Cl)c(Cl)c2)CC2C[C@@H](O)C1N2C,1390.0,intermediate
CHEMBL89476,COC(=O)C1C(c2ccc(Cl)c(Cl)c2)CC2C[C@H](O)C1N2C,991.0,active
CHEMBL87031,COC(=O)C1C(c2ccc(Cl)c(Cl)c2)CC2CCC1N2C,2.47,active
CHEMBL87567,COC(=O)C1C(c2ccc3ccccc3c2)CC2CCC1N2C,5.95,active
CHEMBL89754,COC(=O)C1=C(c2ccccc2)CC2C[C@@H](O)C1N2C,10000.0,inactive
CHEMBL89662,COC(=O)C1=C(c2ccccc2)CC2CCC1N2C,28600.0,inactive
CHEMBL89756,COC(=O)C1=C(c2ccccc2)CC2[C@@H](O)CC1N2C,100000.0,inactive
CHEMBL86710,COC(=O)C1=C(c2ccc(Cl)c(Cl)c2)CC2C[C@@H](O)C1N2C,6000.0,intermediate
CHEMBL606929,COC(=O)[C@@H]1C(c2ccc(Cl)c(Cl)c2)C[C@H]2C[C@@H](O)C1N2C,1220.0,intermediate
CHEMBL89208,COC(=O)C1C(c2ccccc2)CC2[C@@H](O)CC1N2C,88000.0,inactive
