molecule_chembl_id,canonical_smiles,compound_classification,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL6731,CC(N)Cc1ccc2c(c1)OCO2,active,179.21899999999997,1.3050000000000002,1.0,3.0,6.045757490560675
CHEMBL6467,CSc1ccc(CC(C)N)cc1,active,181.30399999999997,2.2982000000000005,1.0,2.0,6.698970004336019
CHEMBL1165775,CSc1ccc(CC(Cc2ccc(SC)cc2)NC=O)cc1,inactive,331.506,4.0302000000000024,1.0,3.0,4.804100347590766
CHEMBL1683902,CN(C)CC1(c2ccc3ccccc3c2)CCCCC1,active,267.416,4.603300000000004,0.0,1.0,8.522878745280337
CHEMBL1683874,CN(C)CC1(c2ccc(Cl)c(Cl)c2)CCCCC1,active,286.2460000000001,4.756900000000004,0.0,1.0,7.721246399047171
CHEMBL1683889,CN(C)CC1(c2ccc(F)c(Cl)c2)CCCCC1,active,269.79099999999994,4.242600000000004,0.0,1.0,7.508638306165727
CHEMBL1683894,CN(C)CC1(c2ccc(F)cc2)CCCCC1,active,235.34599999999992,3.5892000000000026,0.0,1.0,7.481486060122112
CHEMBL1683901,CNCC1(c2ccc3ccccc3c2)CCCCC1,active,253.38899999999992,4.261100000000003,1.0,1.0,7.468521082957745
CHEMBL1683886,CN(C)CC1(c2cccc(Cl)c2)CCCCC1,active,251.8009999999999,4.103500000000004,0.0,1.0,7.259637310505756
CHEMBL1683891,CN(C)CC1(c2ccc(F)c(F)c2)CCCCC1,active,253.3359999999999,3.7283000000000035,0.0,1.0,7.2441251443275085
CHEMBL1681810,CN(C)CC1(c2ccc(C(F)(F)F)cc2)CCCCC1,active,285.353,4.468900000000004,0.0,1.0,7.017728766960431
CHEMBL1683884,CN(C)CC1(c2ccc(Cl)cc2)CCCCC1,active,251.80099999999993,4.103500000000004,0.0,1.0,6.991399828238082
CHEMBL1683888,CN(C)CC1(c2ccc(Cl)c(F)c2)CCCCC1,active,269.79099999999994,4.242600000000004,0.0,1.0,6.838631997765025
CHEMBL1683875,CCN(C)CC1(c2ccc(Cl)c(Cl)c2)CCCCC1,active,300.27300000000014,5.147000000000005,0.0,1.0,6.806875401645538
CHEMBL1683872,CCNCC1(c2ccc(Cl)c(Cl)c2)CCCCC1,active,286.2460000000001,4.804800000000004,1.0,1.0,6.801342913045577
CHEMBL1683870,CNCC1(c2ccc(Cl)c(Cl)c2)CCCCC1,active,272.219,4.414700000000003,1.0,1.0,6.772113295386326
CHEMBL1683871,NCC1(c2ccc(Cl)c(Cl)c2)CCCCC1,active,258.19199999999995,4.154000000000003,1.0,1.0,6.696803942579511
CHEMBL1683893,CN(C)CC1(c2cccc(F)c2)CCCCC1,active,235.3459999999999,3.5892000000000026,0.0,1.0,6.649751981665837
CHEMBL1683895,CN(C)CC1(c2ccccc2)CCCCC1,active,217.3559999999999,3.4501000000000026,0.0,1.0,6.603800652904264
CHEMBL1683882,CN(C)CC1(c2ccc(Cl)c(Cl)c2)CCCC1,active,272.21900000000005,4.366800000000004,0.0,1.0,6.555955204081924
CHEMBL1683904,CNCC1(c2ccc(-c3ccccc3)cc2)CCCCC1,active,279.427,4.774900000000004,1.0,1.0,6.543633966870957
CHEMBL1683880,CN1CCN(CC2(c3ccc(Cl)c(Cl)c3)CCCCC2)CC1,active,341.32600000000025,4.442700000000004,0.0,2.0,6.52432881167557
CHEMBL1683900,NCC1(c2ccc3ccccc3c2)CCCCC1,active,239.3619999999999,4.0004000000000035,1.0,1.0,6.515700160653214
CHEMBL1683881,NCC1(c2ccc(Cl)c(Cl)c2)CCCCCC1,active,272.219,4.544100000000003,1.0,1.0,6.195860567664649
CHEMBL1683873,Clc1ccc(C2(CNC3CC3)CCCCC2)cc1Cl,active,298.25699999999995,4.947300000000004,1.0,1.0,6.186419011431808
CHEMBL1683890,CNCC1(c2ccc(F)c(Cl)c2)CCCCC1,active,255.76399999999992,3.900400000000003,1.0,1.0,6.161780778092374
CHEMBL1683887,CNCC1(c2cccc(Cl)c2)CCCCC1,active,237.7739999999999,3.761300000000003,1.0,1.0,6.115204636051019
CHEMBL1683903,NCC1(c2ccc(-c3ccccc3)cc2)CCCCC1,active,265.4,4.514200000000004,1.0,1.0,6.068033885271827
CHEMBL1683883,CN(C)CC1(c2ccc(Cl)c(Cl)c2)CCC1,active,258.192,3.9767000000000037,0.0,1.0,6.0467236633326955
CHEMBL1683899,CN(C)CC1(c2cccc3ccccc23)CCCCC1,active,267.41599999999994,4.603300000000004,0.0,1.0,9.0
CHEMBL1683905,NCC1(c2cccs2)CCCCC1,active,195.3309999999999,2.9087000000000014,1.0,2.0,8.0
CHEMBL1683870,CNCC1(c2ccc(Cl)c(Cl)c2)CCCCC1,active,272.219,4.414700000000003,1.0,1.0,6.772113295386326
CHEMBL1683901,CNCC1(c2ccc3ccccc3c2)CCCCC1,active,253.38899999999992,4.261100000000003,1.0,1.0,7.468521082957745
CHEMBL1684042,CC(N)C1(c2ccc(Cl)c(Cl)c2)CCCCC1,active,272.219,4.542500000000003,1.0,1.0,6.267606240177032
CHEMBL1684043,CCC(N)C1(c2ccc(Cl)c(Cl)c2)CCCCC1,active,286.2460000000001,4.932600000000003,1.0,1.0,6.180456064458132
CHEMBL1684044,CC(C)CC(N)C1(c2ccc(Cl)c(Cl)c2)CCCCC1,active,314.3000000000002,5.568700000000004,1.0,1.0,6.481486060122113
CHEMBL1684045,CNC(C)C1(c2ccc(Cl)c(Cl)c2)CCCCC1,active,286.2460000000001,4.803200000000004,1.0,1.0,7.187086643357144
